query_id,query,response
question_1,What kind of assistance can you provide based on the code of conduct?,"Based on the code of conduct provided, I can offer interpretative guidance on the principles in the Code, in consultation with relevant departments such as LOB Compliance, the Chief Compliance Officer, or the General Counsel. I can also report any concerns or violations of the Code or firm policies to the appropriate parties and cooperate with any investigation or inquiry. Additionally, I can provide information on reporting discrimination or harassment and the firm's expectations for consultants, agents, contract or temporary workers in relation to the Code of Conduct."
question_3,Which department is responsible for addressing employee concerns at JP Morgan Chase?,Code of Conduct Compliance is responsible for addressing employee concerns at JP Morgan Chase.
question_4,What is the process for reporting a potential violation or concern at JP Morgan Chase?,"The process for reporting a potential violation or concern at JP Morgan Chase involves several options. You can raise issues with your manager, Compliance Officer, Global Security, or Human Resources. Alternatively, you can call the JPMorganChase Conduct Hotline toll-free at 1-855-JPMCODE (1-855-576-2633) or file a report online at www.tnwgrc.com/jpmc. Reporting can be done anonymously, where permitted by law. If the concern is related to accounting, internal controls, auditing matters, or financial reporting practices, contact the JPMorganChase Conduct Hotline or the Office of the General Counsel of JPMorgan Chase & Co. at 383 Madison Avenue, New York, NY 10179. JPMorganChase strictly prohibits intimidation or retaliation against anyone who reports a potential or actual violation in good faith or assists with an investigation or inquiry."
question_5,What are the responsibilities and duties of a manager at JP Morgan Chase according to the code of conduct?,"According to the JP Morgan Chase Code of Conduct, managers are expected to set the ""tone from the top"" and remind employees of the importance of maintaining personal integrity and adhering to the firm's high ethical standards. Managers are also responsible for fostering a diverse and inclusive work environment, encouraging exceptional business relationships, and ensuring that all employees are aware of and comply with the firm's laws and regulations. Additionally, managers are expected to provide first-class service in a first-class way and encourage others to deal fairly with clients and suppliers. Managers are also responsible for reporting any violations they know about and ensuring that the firm's resources are used responsibly."
question_6,What are the ethics guidelines for employees at JP Morgan Chase?,"The ethics guidelines for employees at JP Morgan Chase include conducting themselves with honesty and integrity, treating customers and suppliers fairly, exercising sound judgment, maintaining personal accountability and ownership, and adhering to the firm's culture of respect and inclusivity. Employees are expected to comply with the law and firm policies, and always act appropriately when representing the firm, both inside and outside of the workplace. They are also encouraged to report any violations they know about or suspect, and are protected from retaliation for doing so in good faith. The firm values its employees as its most valuable asset and is committed to providing a safe, healthy, and productive work environment."
question_7,What should employees do if they witness illegal activity within the company?,"Employees should report any illegal activity they witness within the company to their manager, Compliance Officer, Global Security, or Human Resources. They have the right and obligation to share their concerns and are encouraged to ask questions and have open conversations with their manager on business and conduct issues. If they witness or suspect something is illegal or unethical, they must immediately report it. They are also protected from retaliation for reporting such concerns. If they have access to confidential or material, non-public information, they must protect it from unauthorized use and never use it for personal gain or share it with others. Insider trading is strictly prohibited by firm policies."
question_8,"Does JP Morgan Chase have a non-retaliation policy, and if so, what does it entail?","Yes, JP Morgan Chase has a non-retaliation policy. The policy strictly prohibits intimidation or retaliation against anyone who makes a good faith report about a potential or actual violation of the Code, firm policy, or any law or regulation governing the business. It also prohibits retaliation against anyone who assists with an inquiry or investigation of such a violation. Employees who have concerns about possible retaliatory action are encouraged to report it to their manager, Human Resources, or the JPMorganChase Conduct Hotline. The information provided will be handled discreetly and only shared with those who need to know. JPMorganChase strictly prohibits retaliation against anyone who reports violations in good faith."
question_9,"Are employees allowed to exchange gifts with external individuals with whom they have a professional relationship, but who are not employed by JP Morgan Chase?","According to the provided context from JPMorganChase's Code of Conduct, employees should avoid accepting or providing gifts and business hospitality to customers, suppliers, and business partners of the firm if it creates a perceived or actual conflict of interest or violates laws, regulations, or the firm's policies. While the exchange of gifts may be common business practices, it can be misinterpreted or suggest the appearance of something improper. Therefore, it is recommended that employees avoid exchanging gifts with external individuals with whom they have a professional relationship, but who are not employed by JP Morgan Chase, to prevent any potential conflicts of interest or the appearance of impropriety."
question_10,What guidelines or policies govern how employees are expected to manage information within the organization?,"Employees are expected to manage information within the organization in accordance with the firm's Code of Conduct, specifically the section on Managing Information. They must protect confidential information from theft, loss, or unauthorized access or disclosure and only share it with authorized individuals or as required by law. Employees are also responsible for maintaining accurate and complete data, and creating and sharing information that meets legal and regulatory requirements. Managers have an even greater level of responsibility to set the example, lead with integrity, and reinforce the firm's ethical culture. Employees should report any concerns or violations of these policies and are expected to comply with all recordkeeping policies, controls, and procedures. Violating these policies can result in termination of employment."
question_11,Does JP Morgan Chase prioritize diversity and inclusion in its hiring practices?,"Yes, JP Morgan Chase prioritizes diversity and inclusion in its hiring practices. The company values a diverse network of people and celebrates the different cultures, skills, and experiences of its employees. It also believes that a diverse workforce reflects the diverse set of customers they serve and helps them address a wide variety of needs and opportunities in the marketplace. The company prohibits discrimination, harassment, bias, and prejudice based on race, color, national origin or ancestry, ethnic origin, citizenship status, creed, religion, and other protected characteristics."
